"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
" 1.508082e-05",0.5376521534496,0.454,0.385," 2.886620e-01","13","Icam5"
" 1.531447e-05",0.808470241549084,0.343,0.276," 2.931343e-01","13","Dpp10"
" 1.585431e-05",0.55608707420544,0.279,0.2," 3.034673e-01","13","Wls"
" 1.782138e-05",0.590611817854667,0.447,0.39," 3.411190e-01","13","Hdgfl3"
" 2.036742e-05",0.581514991954619,0.415,0.35," 3.898527e-01","13","Rab3c"
" 2.281623e-05",0.260247006968338,0.862,0.845," 4.367254e-01","13","Srsf7"
" 2.445035e-05",0.55048894200636,0.341,0.262," 4.680041e-01","13","Mctp1"
" 2.445155e-05",0.585646491200821,0.461,0.41," 4.680271e-01","13","Gphn"
" 2.588672e-05",0.668437437090707,0.373,0.31," 4.954978e-01","13","Crtc3"
" 2.677944e-05",0.452576440285839,0.341,0.259," 5.125852e-01","13","Dner"
" 2.901446e-05",0.737472607634789,0.265,0.198," 5.553658e-01","13","Fyn"
" 3.564195e-05",0.577127681016178,0.468,0.421," 6.822226e-01","13","Samd12"
" 4.110206e-05",0.562998252517228,0.316,0.244," 7.867345e-01","13","Zeb1"
" 4.434353e-05",0.390811247910489,0.544,0.479," 8.487794e-01","13","Me3"
" 4.747714e-05",0.737610188206485,0.29,0.224," 9.087600e-01","13","Rasa1"
" 5.084861e-05",0.655118861349826,0.403,0.351," 9.732932e-01","13","Chd3"
" 6.738580e-05",0.688077807217969,0.316,0.248," 1.000000e+00","13","Kcna4"
" 7.518654e-05",0.837277716167456,0.26,0.198," 1.000000e+00","13","Pitpnm3"
" 8.096157e-05",0.581405391231837,0.313,0.243," 1.000000e+00","13","Usp29"
" 9.985523e-05",0.457573501075649,0.465,0.411," 1.000000e+00","13","Nrxn2"
" 1.084892e-04",0.277783669009045,0.756,0.793," 1.000000e+00","13","Ndrg4"
" 1.183950e-04",0.563101192336412,0.512,0.488," 1.000000e+00","13","Aig1"
" 1.199813e-04",0.687611783208584,0.288,0.223," 1.000000e+00","13","Msra"
" 1.249935e-04",0.983166797187324,0.293,0.238," 1.000000e+00","13","Hdac9"
" 1.331004e-04",0.500091637270219,0.44,0.381," 1.000000e+00","13","Enah"
" 1.563495e-04",0.77538142525017,0.295,0.234," 1.000000e+00","13","Plppr3"
" 1.593245e-04",0.418114294783889,0.491,0.437," 1.000000e+00","13","Hsp90aa1"
" 1.676841e-04",0.509250701464883,0.394,0.33," 1.000000e+00","13","Gaa"
" 2.246113e-04",0.477328092748063,0.454,0.404," 1.000000e+00","13","Snap91"
" 2.530921e-04",0.334801808100793,0.753,0.788," 1.000000e+00","13","Adgrb3"
" 2.758677e-04",0.544220999855566,0.392,0.344," 1.000000e+00","13","Dgkd"
" 2.764994e-04",0.574552882819581,0.327,0.264," 1.000000e+00","13","Metap1d"
" 2.829755e-04",0.542364933644977,0.283,0.217," 1.000000e+00","13","Pcp4"
" 3.880055e-04",0.666858528442785,0.304,0.246," 1.000000e+00","13","Necab1"
" 3.900710e-04",0.656268188236447,0.316,0.26," 1.000000e+00","13","Slc8a1"
" 4.967837e-04",0.701026129211257,0.267,0.21," 1.000000e+00","13","Ube2e3"
" 5.278802e-04",0.467438002060888,0.463,0.429," 1.000000e+00","13","Tmem57"
" 5.556255e-04",0.523701569076792,0.41,0.366," 1.000000e+00","13","B3galt1"
" 6.081957e-04",0.379728844928286,0.514,0.474," 1.000000e+00","13","Ubb"
" 6.410438e-04",0.561190867986339,0.445,0.41," 1.000000e+00","13","Pcdh10"
" 6.790085e-04",0.449092804961771,0.495,0.465," 1.000000e+00","13","Tenm4"
" 7.216729e-04",0.278310729177661,0.73,0.758," 1.000000e+00","13","Dock3"
" 8.039576e-04",0.585075725928563,0.325,0.268," 1.000000e+00","13","Ralgps2"
" 9.370133e-04",0.394202365908671,0.304,0.241," 1.000000e+00","13","Zmat4"
" 1.063143e-03",0.43785110335139,0.459,0.433," 1.000000e+00","13","Cadm3"
" 1.570439e-03",0.438674047431649,0.477,0.46," 1.000000e+00","13","Plekha5"
" 1.606328e-03",0.547670443201404,0.313,0.26," 1.000000e+00","13","Sphkap"
